filename,transcript_perekaman,transcript_training
rakagu_m_20201030_4522_wilayah1_semarang,Wilayah ATAMBUA terletak di Indonesia ,wilayah atambua terletak di indonesia 
rakagu_m_20201030_4523_wilayah1_semarang,Wilayah ATAMBUA BARAT terletak di Indonesia ,wilayah atambua barat terletak di indonesia 
rakagu_m_20201030_4524_wilayah1_semarang,Wilayah ATAMBUA SELATAN terletak di Indonesia ,wilayah atambua selatan terletak di indonesia 
rakagu_m_20201030_4525_wilayah1_semarang,Wilayah TASIFETO TIMUR terletak di Indonesia ,wilayah tasifeto timur terletak di indonesia 
rakagu_m_20201030_4526_wilayah1_semarang,Wilayah RAIHAT terletak di Indonesia ,wilayah raihat terletak di indonesia 
rakagu_m_20201030_4527_wilayah1_semarang,Wilayah LASIOLAT terletak di Indonesia ,wilayah lasiolat terletak di indonesia 
rakagu_m_20201030_4528_wilayah1_semarang,Wilayah LAMAKNEN terletak di Indonesia ,wilayah lamaknen terletak di indonesia 
rakagu_m_20201030_4529_wilayah1_semarang,Wilayah LAMAKNEN SELATAN terletak di Indonesia ,wilayah lamaknen selatan terletak di indonesia 
rakagu_m_20201030_4530_wilayah1_semarang,Wilayah PANTAR terletak di Indonesia ,wilayah pantar terletak di indonesia 
rakagu_m_20201030_4531_wilayah1_semarang,Wilayah PANTAR BARAT terletak di Indonesia ,wilayah pantar barat terletak di indonesia 
rakagu_m_20201030_4532_wilayah1_semarang,Wilayah PANTAR TIMUR terletak di Indonesia ,wilayah pantar timur terletak di indonesia 
rakagu_m_20201030_4533_wilayah1_semarang,Wilayah PANTAR BARAT LAUT terletak di Indonesia ,wilayah pantar barat laut terletak di indonesia 
rakagu_m_20201030_4534_wilayah1_semarang,Wilayah PANTAR TENGAH terletak di Indonesia ,wilayah pantar tengah terletak di indonesia 
rakagu_m_20201030_4535_wilayah1_semarang,Wilayah ALOR BARAT DAYA terletak di Indonesia ,wilayah alor barat daya terletak di indonesia 
rakagu_m_20201030_4536_wilayah1_semarang,Wilayah MATARU terletak di Indonesia ,wilayah mataru terletak di indonesia 
rakagu_m_20201030_4537_wilayah1_semarang,Wilayah ALOR SELATAN terletak di Indonesia ,wilayah alor selatan terletak di indonesia 
rakagu_m_20201030_4538_wilayah1_semarang,Wilayah ALOR TIMUR terletak di Indonesia ,wilayah alor timur terletak di indonesia 
rakagu_m_20201030_4539_wilayah1_semarang,Wilayah ALOR TIMUR LAUT terletak di Indonesia ,wilayah alor timur laut terletak di indonesia 
rakagu_m_20201030_4540_wilayah1_semarang,Wilayah PUREMAN terletak di Indonesia ,wilayah pureman terletak di indonesia 
rakagu_m_20201030_4541_wilayah1_semarang,Wilayah TELUK MUTIARA terletak di Indonesia ,wilayah teluk mutiara terletak di indonesia 
rakagu_m_20201030_4542_wilayah1_semarang,Wilayah KABOLA terletak di Indonesia ,wilayah kabola terletak di indonesia 
rakagu_m_20201030_4543_wilayah1_semarang,Wilayah ALOR BARAT LAUT terletak di Indonesia ,wilayah alor barat laut terletak di indonesia 
rakagu_m_20201030_4544_wilayah1_semarang,Wilayah ALOR TENGAH UTARA terletak di Indonesia ,wilayah alor tengah utara terletak di indonesia 
rakagu_m_20201030_4545_wilayah1_semarang,Wilayah PULAU PURA terletak di Indonesia ,wilayah pulau pura terletak di indonesia 
rakagu_m_20201030_4546_wilayah1_semarang,Wilayah LEMBUR terletak di Indonesia ,wilayah lembur terletak di indonesia 
rakagu_m_20201030_4547_wilayah1_semarang,Wilayah NAGAWUTUNG terletak di Indonesia ,wilayah nagawutung terletak di indonesia 
rakagu_m_20201030_4548_wilayah1_semarang,Wilayah WULANDONI terletak di Indonesia ,wilayah wulandoni terletak di indonesia 
rakagu_m_20201030_4549_wilayah1_semarang,Wilayah ATADEI terletak di Indonesia ,wilayah atadei terletak di indonesia 
rakagu_m_20201030_4550_wilayah1_semarang,Wilayah ILE APE terletak di Indonesia ,wilayah ile ape terletak di indonesia 
rakagu_m_20201030_4551_wilayah1_semarang,Wilayah ILE APE TIMUR terletak di Indonesia ,wilayah ile ape timur terletak di indonesia 
rakagu_m_20201030_4552_wilayah1_semarang,Wilayah LEBATUKAN terletak di Indonesia ,wilayah lebatukan terletak di indonesia 
rakagu_m_20201030_4553_wilayah1_semarang,Wilayah NUBATUKAN terletak di Indonesia ,wilayah nubatukan terletak di indonesia 
rakagu_m_20201030_4554_wilayah1_semarang,Wilayah OMESURI terletak di Indonesia ,wilayah omesuri terletak di indonesia 
rakagu_m_20201030_4555_wilayah1_semarang,Wilayah BUYASARI terletak di Indonesia ,wilayah buyasari terletak di indonesia 
rakagu_m_20201030_4556_wilayah1_semarang,Wilayah WULANGGITANG terletak di Indonesia ,wilayah wulanggitang terletak di indonesia 
rakagu_m_20201030_4557_wilayah1_semarang,Wilayah TITEHENA terletak di Indonesia ,wilayah titehena terletak di indonesia 
rakagu_m_20201030_4558_wilayah1_semarang,Wilayah ILEBURA terletak di Indonesia ,wilayah ilebura terletak di indonesia 
rakagu_m_20201030_4559_wilayah1_semarang,Wilayah TANJUNG BUNGA terletak di Indonesia ,wilayah tanjung bunga terletak di indonesia 
rakagu_m_20201030_4560_wilayah1_semarang,Wilayah LEWO LEMA terletak di Indonesia ,wilayah lewo lema terletak di indonesia 
rakagu_m_20201030_4561_wilayah1_semarang,Wilayah LARANTUKA terletak di Indonesia ,wilayah larantuka terletak di indonesia 
rakagu_m_20201030_4562_wilayah1_semarang,Wilayah ILE MANDIRI terletak di Indonesia ,wilayah ile mandiri terletak di indonesia 
rakagu_m_20201030_4563_wilayah1_semarang,Wilayah DEMON PAGONG terletak di Indonesia ,wilayah demon pagong terletak di indonesia 
rakagu_m_20201030_4564_wilayah1_semarang,Wilayah SOLOR BARAT terletak di Indonesia ,wilayah solor barat terletak di indonesia 
rakagu_m_20201030_4565_wilayah1_semarang,Wilayah SOLOR SELATAN terletak di Indonesia ,wilayah solor selatan terletak di indonesia 
rakagu_m_20201030_4566_wilayah1_semarang,Wilayah ADONARA BARAT terletak di Indonesia ,wilayah adonara barat terletak di indonesia 
rakagu_m_20201030_4567_wilayah1_semarang,Wilayah WOTAN ULU MADO terletak di Indonesia ,wilayah wotan ulu mado terletak di indonesia 
rakagu_m_20201030_4568_wilayah1_semarang,Wilayah ADONARA TIMUR terletak di Indonesia ,wilayah adonara timur terletak di indonesia 
rakagu_m_20201030_4569_wilayah1_semarang,Wilayah ILE BOLENG terletak di Indonesia ,wilayah ile boleng terletak di indonesia 
rakagu_m_20201030_4570_wilayah1_semarang,Wilayah WITIHAMA terletak di Indonesia ,wilayah witihama terletak di indonesia 
rakagu_m_20201030_4571_wilayah1_semarang,Wilayah KELUBAGOLIT terletak di Indonesia ,wilayah kelubagolit terletak di indonesia 
rakagu_m_20201030_4572_wilayah1_semarang,Wilayah ADONARA terletak di Indonesia ,wilayah adonara terletak di indonesia 
rakagu_m_20201030_4573_wilayah1_semarang,Wilayah PAGA terletak di Indonesia ,wilayah paga terletak di indonesia 
rakagu_m_20201030_4574_wilayah1_semarang,Wilayah MEGO terletak di Indonesia ,wilayah mego terletak di indonesia 
rakagu_m_20201030_4575_wilayah1_semarang,Wilayah TANA WAWO terletak di Indonesia ,wilayah tana wawo terletak di indonesia 
rakagu_m_20201030_4576_wilayah1_semarang,Wilayah LELA terletak di Indonesia ,wilayah lela terletak di indonesia 
rakagu_m_20201030_4577_wilayah1_semarang,Wilayah BOLA terletak di Indonesia ,wilayah bola terletak di indonesia 
rakagu_m_20201030_4578_wilayah1_semarang,Wilayah DORENG terletak di Indonesia ,wilayah doreng terletak di indonesia 
rakagu_m_20201030_4579_wilayah1_semarang,Wilayah MAPITARA terletak di Indonesia ,wilayah mapitara terletak di indonesia 
rakagu_m_20201030_4580_wilayah1_semarang,Wilayah TALIBURA terletak di Indonesia ,wilayah talibura terletak di indonesia 
rakagu_m_20201030_4581_wilayah1_semarang,Wilayah WAIGETE terletak di Indonesia ,wilayah waigete terletak di indonesia 
rakagu_m_20201030_4582_wilayah1_semarang,Wilayah WAIBLAMA terletak di Indonesia ,wilayah waiblama terletak di indonesia 
rakagu_m_20201030_4583_wilayah1_semarang,Wilayah KEWAPANTE terletak di Indonesia ,wilayah kewapante terletak di indonesia 
rakagu_m_20201030_4584_wilayah1_semarang,Wilayah HEWOKLOANG terletak di Indonesia ,wilayah hewokloang terletak di indonesia 
rakagu_m_20201030_4585_wilayah1_semarang,Wilayah KANGAE terletak di Indonesia ,wilayah kangae terletak di indonesia 
rakagu_m_20201030_4586_wilayah1_semarang,Wilayah PALUE terletak di Indonesia ,wilayah palue terletak di indonesia 
rakagu_m_20201030_4587_wilayah1_semarang,Wilayah KOTING terletak di Indonesia ,wilayah koting terletak di indonesia 
rakagu_m_20201030_4588_wilayah1_semarang,Wilayah NELLE terletak di Indonesia ,wilayah nelle terletak di indonesia 
rakagu_m_20201030_4589_wilayah1_semarang,Wilayah NITA terletak di Indonesia ,wilayah nita terletak di indonesia 
rakagu_m_20201030_4590_wilayah1_semarang,Wilayah MAGEPANDA terletak di Indonesia ,wilayah magepanda terletak di indonesia 
rakagu_m_20201030_4591_wilayah1_semarang,Wilayah ALOK terletak di Indonesia ,wilayah alok terletak di indonesia 
rakagu_m_20201030_4592_wilayah1_semarang,Wilayah ALOK BARAT terletak di Indonesia ,wilayah alok barat terletak di indonesia 
rakagu_m_20201030_4593_wilayah1_semarang,Wilayah ALOK TIMUR terletak di Indonesia ,wilayah alok timur terletak di indonesia 
rakagu_m_20201030_4594_wilayah1_semarang,Wilayah NANGAPANDA terletak di Indonesia ,wilayah nangapanda terletak di indonesia 
rakagu_m_20201030_4595_wilayah1_semarang,Wilayah PULAU ENDE terletak di Indonesia ,wilayah pulau ende terletak di indonesia 
rakagu_m_20201030_4596_wilayah1_semarang,Wilayah MAUKARO terletak di Indonesia ,wilayah maukaro terletak di indonesia 
rakagu_m_20201030_4597_wilayah1_semarang,Wilayah ENDE terletak di Indonesia ,wilayah ende terletak di indonesia 
rakagu_m_20201030_4598_wilayah1_semarang,Wilayah ENDE SELATAN terletak di Indonesia ,wilayah ende selatan terletak di indonesia 
rakagu_m_20201030_4599_wilayah1_semarang,Wilayah ENDE TIMUR terletak di Indonesia ,wilayah ende timur terletak di indonesia 
rakagu_m_20201030_4600_wilayah1_semarang,Wilayah ENDE TENGAH terletak di Indonesia ,wilayah ende tengah terletak di indonesia 
rakagu_m_20201030_4601_wilayah1_semarang,Wilayah ENDE UTARA terletak di Indonesia ,wilayah ende utara terletak di indonesia 
rakagu_m_20201030_4602_wilayah1_semarang,Wilayah NDONA TIMUR terletak di Indonesia ,wilayah ndona timur terletak di indonesia 
rakagu_m_20201030_4603_wilayah1_semarang,Wilayah WOLOWARU terletak di Indonesia ,wilayah wolowaru terletak di indonesia 
rakagu_m_20201030_4604_wilayah1_semarang,Wilayah WOLOJITA terletak di Indonesia ,wilayah wolojita terletak di indonesia 
rakagu_m_20201030_4605_wilayah1_semarang,Wilayah LIO TIMUR terletak di Indonesia ,wilayah lio timur terletak di indonesia 
rakagu_m_20201030_4606_wilayah1_semarang,Wilayah KELIMUTU terletak di Indonesia ,wilayah kelimutu terletak di indonesia 
rakagu_m_20201030_4607_wilayah1_semarang,Wilayah NDORI terletak di Indonesia ,wilayah ndori terletak di indonesia 
rakagu_m_20201030_4608_wilayah1_semarang,Wilayah MAUROLE terletak di Indonesia ,wilayah maurole terletak di indonesia 
rakagu_m_20201030_4609_wilayah1_semarang,Wilayah KOTABARU terletak di Indonesia ,wilayah kotabaru terletak di indonesia 
rakagu_m_20201030_4610_wilayah1_semarang,Wilayah DETUKELI terletak di Indonesia ,wilayah detukeli terletak di indonesia 
rakagu_m_20201030_4611_wilayah1_semarang,Wilayah LEPEMBUSU KELISOKE terletak di Indonesia ,wilayah lepembusu kelisoke terletak di indonesia 
rakagu_m_20201030_4612_wilayah1_semarang,Wilayah DETUSOKO terletak di Indonesia ,wilayah detusoko terletak di indonesia 
rakagu_m_20201030_4613_wilayah1_semarang,Wilayah WEWARIA terletak di Indonesia ,wilayah wewaria terletak di indonesia 
rakagu_m_20201030_4614_wilayah1_semarang,Wilayah AIMERE terletak di Indonesia ,wilayah aimere terletak di indonesia 
rakagu_m_20201030_4615_wilayah1_semarang,Wilayah JEREBUU terletak di Indonesia ,wilayah jerebuu terletak di indonesia 
rakagu_m_20201030_4616_wilayah1_semarang,Wilayah INERIE terletak di Indonesia ,wilayah inerie terletak di indonesia 
rakagu_m_20201030_4617_wilayah1_semarang,Wilayah BAJAWA terletak di Indonesia ,wilayah bajawa terletak di indonesia 
rakagu_m_20201030_4618_wilayah1_semarang,Wilayah GOLEWA terletak di Indonesia ,wilayah golewa terletak di indonesia 
rakagu_m_20201030_4619_wilayah1_semarang,Wilayah GOLEWA SELATAN terletak di Indonesia ,wilayah golewa selatan terletak di indonesia 
rakagu_m_20201030_4620_wilayah1_semarang,Wilayah GOLEWA BARAT terletak di Indonesia ,wilayah golewa barat terletak di indonesia 
rakagu_m_20201030_4621_wilayah1_semarang,Wilayah BAJAWA UTARA terletak di Indonesia ,wilayah bajawa utara terletak di indonesia 
rakagu_m_20201030_4622_wilayah1_semarang,Wilayah SOA terletak di Indonesia ,wilayah soa terletak di indonesia 
rakagu_m_20201030_4623_wilayah1_semarang,Wilayah RIUNG terletak di Indonesia ,wilayah riung terletak di indonesia 
rakagu_m_20201030_4624_wilayah1_semarang,Wilayah RIUNG BARAT terletak di Indonesia ,wilayah riung barat terletak di indonesia 
rakagu_m_20201030_4625_wilayah1_semarang,Wilayah WOLOMEZE terletak di Indonesia ,wilayah wolomeze terletak di indonesia 
rakagu_m_20201030_4626_wilayah1_semarang,Wilayah SATAR MESE terletak di Indonesia ,wilayah satar mese terletak di indonesia 
rakagu_m_20201030_4627_wilayah1_semarang,Wilayah SATAR MESE BARAT terletak di Indonesia ,wilayah satar mese barat terletak di indonesia 
rakagu_m_20201030_4628_wilayah1_semarang,Wilayah SATAR MESE UTARA terletak di Indonesia ,wilayah satar mese utara terletak di indonesia 
rakagu_m_20201030_4629_wilayah1_semarang,Wilayah LANGKE REMBONG terletak di Indonesia ,wilayah langke rembong terletak di indonesia 
rakagu_m_20201030_4630_wilayah1_semarang,Wilayah RUTENG terletak di Indonesia ,wilayah ruteng terletak di indonesia 
rakagu_m_20201030_4631_wilayah1_semarang,Wilayah WAE RII terletak di Indonesia ,wilayah wae rii terletak di indonesia 
rakagu_m_20201030_4632_wilayah1_semarang,Wilayah LELAK terletak di Indonesia ,wilayah lelak terletak di indonesia 
rakagu_m_20201030_4633_wilayah1_semarang,Wilayah RAHONG UTARA terletak di Indonesia ,wilayah rahong utara terletak di indonesia 
rakagu_m_20201030_4634_wilayah1_semarang,Wilayah CIBAL terletak di Indonesia ,wilayah cibal terletak di indonesia 
rakagu_m_20201030_4635_wilayah1_semarang,Wilayah CIBAL BARAT terletak di Indonesia ,wilayah cibal barat terletak di indonesia 
rakagu_m_20201030_4636_wilayah1_semarang,Wilayah REOK terletak di Indonesia ,wilayah reok terletak di indonesia 
rakagu_m_20201030_4637_wilayah1_semarang,Wilayah REOK BARAT terletak di Indonesia ,wilayah reok barat terletak di indonesia 
rakagu_m_20201030_4638_wilayah1_semarang,Wilayah ROTE BARAT DAYA terletak di Indonesia ,wilayah rote barat daya terletak di indonesia 
rakagu_m_20201030_4639_wilayah1_semarang,Wilayah ROTE BARAT LAUT terletak di Indonesia ,wilayah rote barat laut terletak di indonesia 
rakagu_m_20201030_4640_wilayah1_semarang,Wilayah LOBALAIN terletak di Indonesia ,wilayah lobalain terletak di indonesia 
rakagu_m_20201030_4641_wilayah1_semarang,Wilayah ROTE TENGAH terletak di Indonesia ,wilayah rote tengah terletak di indonesia 
rakagu_m_20201030_4642_wilayah1_semarang,Wilayah PANTAI BARU terletak di Indonesia ,wilayah pantai baru terletak di indonesia 
rakagu_m_20201030_4643_wilayah1_semarang,Wilayah ROTE TIMUR terletak di Indonesia ,wilayah rote timur terletak di indonesia 
rakagu_m_20201030_4644_wilayah1_semarang,Wilayah LANDU LEKO terletak di Indonesia ,wilayah landu leko terletak di indonesia 
rakagu_m_20201030_4645_wilayah1_semarang,Wilayah ROTE BARAT terletak di Indonesia ,wilayah rote barat terletak di indonesia 
rakagu_m_20201030_4646_wilayah1_semarang,Wilayah NDAO NUSE terletak di Indonesia ,wilayah ndao nuse terletak di indonesia 
rakagu_m_20201030_4647_wilayah1_semarang,Wilayah KOMODO terletak di Indonesia ,wilayah komodo terletak di indonesia 
rakagu_m_20201030_4648_wilayah1_semarang,Wilayah BOLENG terletak di Indonesia ,wilayah boleng terletak di indonesia 
rakagu_m_20201030_4649_wilayah1_semarang,Wilayah SANO NGGOANG terletak di Indonesia ,wilayah sano nggoang terletak di indonesia 
rakagu_m_20201030_4650_wilayah1_semarang,Wilayah MBELILING terletak di Indonesia ,wilayah mbeliling terletak di indonesia 
rakagu_m_20201030_4651_wilayah1_semarang,Wilayah LEMBOR terletak di Indonesia ,wilayah lembor terletak di indonesia 
rakagu_m_20201030_4652_wilayah1_semarang,Wilayah WELAK terletak di Indonesia ,wilayah welak terletak di indonesia 
rakagu_m_20201030_4653_wilayah1_semarang,Wilayah LEMBOR SELATAN terletak di Indonesia ,wilayah lembor selatan terletak di indonesia 
rakagu_m_20201030_4654_wilayah1_semarang,Wilayah KUWUS terletak di Indonesia ,wilayah kuwus terletak di indonesia 
rakagu_m_20201030_4655_wilayah1_semarang,Wilayah NDOSO terletak di Indonesia ,wilayah ndoso terletak di indonesia 
rakagu_m_20201030_4656_wilayah1_semarang,Wilayah MACANG PACAR terletak di Indonesia ,wilayah macang pacar terletak di indonesia 
rakagu_m_20201030_4657_wilayah1_semarang,Wilayah KATIKUTANA terletak di Indonesia ,wilayah katikutana terletak di indonesia 
rakagu_m_20201030_4658_wilayah1_semarang,Wilayah KATIKUTANA SELATAN terletak di Indonesia ,wilayah katikutana selatan terletak di indonesia 
rakagu_m_20201030_4659_wilayah1_semarang,Wilayah UMBU RATU NGGAY BARAT terletak di Indonesia ,wilayah umbu ratu nggay barat terletak di indonesia 
rakagu_m_20201030_4660_wilayah1_semarang,Wilayah UMBU RATU NGGAY terletak di Indonesia ,wilayah umbu ratu nggay terletak di indonesia 
rakagu_m_20201030_4661_wilayah1_semarang,Wilayah MAMBORO terletak di Indonesia ,wilayah mamboro terletak di indonesia 
rakagu_m_20201030_4662_wilayah1_semarang,Wilayah KODI BANGEDO terletak di Indonesia ,wilayah kodi bangedo terletak di indonesia 
rakagu_m_20201030_4663_wilayah1_semarang,Wilayah KODI BALAGHAR terletak di Indonesia ,wilayah kodi balaghar terletak di indonesia 
rakagu_m_20201030_4664_wilayah1_semarang,Wilayah KODI terletak di Indonesia ,wilayah kodi terletak di indonesia 
rakagu_m_20201030_4665_wilayah1_semarang,Wilayah KODI UTARA terletak di Indonesia ,wilayah kodi utara terletak di indonesia 
rakagu_m_20201030_4666_wilayah1_semarang,Wilayah WEWEWA SELATAN terletak di Indonesia ,wilayah wewewa selatan terletak di indonesia 
rakagu_m_20201030_4667_wilayah1_semarang,Wilayah WEWEWA BARAT terletak di Indonesia ,wilayah wewewa barat terletak di indonesia 
rakagu_m_20201030_4668_wilayah1_semarang,Wilayah WEWEWA TIMUR terletak di Indonesia ,wilayah wewewa timur terletak di indonesia 
rakagu_m_20201030_4669_wilayah1_semarang,Wilayah WEWEWA TENGAH terletak di Indonesia ,wilayah wewewa tengah terletak di indonesia 
rakagu_m_20201030_4670_wilayah1_semarang,Wilayah WEWEWA UTARA terletak di Indonesia ,wilayah wewewa utara terletak di indonesia 
rakagu_m_20201030_4671_wilayah1_semarang,Wilayah LOURA terletak di Indonesia ,wilayah loura terletak di indonesia 
rakagu_m_20201030_4672_wilayah1_semarang,Wilayah KOTA TAMBOLAKA terletak di Indonesia ,wilayah kota tambolaka terletak di indonesia 
rakagu_m_20201030_4673_wilayah1_semarang,Wilayah MAUPONGGO terletak di Indonesia ,wilayah mauponggo terletak di indonesia 
rakagu_m_20201030_4674_wilayah1_semarang,Wilayah KEO TENGAH terletak di Indonesia ,wilayah keo tengah terletak di indonesia 
rakagu_m_20201030_4675_wilayah1_semarang,Wilayah BOAWAE terletak di Indonesia ,wilayah boawae terletak di indonesia 
rakagu_m_20201030_4676_wilayah1_semarang,Wilayah AESESA SELATAN terletak di Indonesia ,wilayah aesesa selatan terletak di indonesia 
rakagu_m_20201030_4677_wilayah1_semarang,Wilayah AESESA terletak di Indonesia ,wilayah aesesa terletak di indonesia 
rakagu_m_20201030_4678_wilayah1_semarang,Wilayah WOLOWAE terletak di Indonesia ,wilayah wolowae terletak di indonesia 
rakagu_m_20201030_4679_wilayah1_semarang,Wilayah BORONG terletak di Indonesia ,wilayah borong terletak di indonesia 
rakagu_m_20201030_4680_wilayah1_semarang,Wilayah RANA MESE terletak di Indonesia ,wilayah rana mese terletak di indonesia 
rakagu_m_20201030_4681_wilayah1_semarang,Wilayah KOTA KOMBA terletak di Indonesia ,wilayah kota komba terletak di indonesia 
rakagu_m_20201030_4682_wilayah1_semarang,Wilayah ELAR terletak di Indonesia ,wilayah elar terletak di indonesia 
rakagu_m_20201030_4683_wilayah1_semarang,Wilayah ELAR SELATAN terletak di Indonesia ,wilayah elar selatan terletak di indonesia 
rakagu_m_20201030_4684_wilayah1_semarang,Wilayah SAMBI RAMPAS terletak di Indonesia ,wilayah sambi rampas terletak di indonesia 
rakagu_m_20201030_4685_wilayah1_semarang,Wilayah POCO RANAKA terletak di Indonesia ,wilayah poco ranaka terletak di indonesia 
rakagu_m_20201030_4686_wilayah1_semarang,Wilayah POCO RANAKA TIMUR terletak di Indonesia ,wilayah poco ranaka timur terletak di indonesia 
rakagu_m_20201030_4687_wilayah1_semarang,Wilayah LAMBA LEDA terletak di Indonesia ,wilayah lamba leda terletak di indonesia 
rakagu_m_20201030_4688_wilayah1_semarang,Wilayah HAWU MEHARA terletak di Indonesia ,wilayah hawu mehara terletak di indonesia 
rakagu_m_20201030_4689_wilayah1_semarang,Wilayah SABU LIAE terletak di Indonesia ,wilayah sabu liae terletak di indonesia 
rakagu_m_20201030_4690_wilayah1_semarang,Wilayah SABU BARAT terletak di Indonesia ,wilayah sabu barat terletak di indonesia 
rakagu_m_20201030_4691_wilayah1_semarang,Wilayah SABU TENGAH terletak di Indonesia ,wilayah sabu tengah terletak di indonesia 
rakagu_m_20201030_4692_wilayah1_semarang,Wilayah SABU TIMUR terletak di Indonesia ,wilayah sabu timur terletak di indonesia 
rakagu_m_20201030_4693_wilayah1_semarang,Wilayah WEWIKU terletak di Indonesia ,wilayah wewiku terletak di indonesia 
rakagu_m_20201030_4694_wilayah1_semarang,Wilayah MALAKA BARAT terletak di Indonesia ,wilayah malaka barat terletak di indonesia 
rakagu_m_20201030_4695_wilayah1_semarang,Wilayah WELIMAN terletak di Indonesia ,wilayah weliman terletak di indonesia 
rakagu_m_20201030_4696_wilayah1_semarang,Wilayah RINHAT terletak di Indonesia ,wilayah rinhat terletak di indonesia 
rakagu_m_20201030_4697_wilayah1_semarang,Wilayah SASITA MEAN terletak di Indonesia ,wilayah sasita mean terletak di indonesia 
rakagu_m_20201030_4698_wilayah1_semarang,Wilayah MALAKA TENGAH terletak di Indonesia ,wilayah malaka tengah terletak di indonesia 
rakagu_m_20201030_4699_wilayah1_semarang,Wilayah BOTIN LEOBELE terletak di Indonesia ,wilayah botin leobele terletak di indonesia 
rakagu_m_20201030_4700_wilayah1_semarang,Wilayah LAEN MANEN terletak di Indonesia ,wilayah laen manen terletak di indonesia 
rakagu_m_20201030_4701_wilayah1_semarang,Wilayah MALAKA TIMUR terletak di Indonesia ,wilayah malaka timur terletak di indonesia 
rakagu_m_20201030_4702_wilayah1_semarang,Wilayah KOBALIMA terletak di Indonesia ,wilayah kobalima terletak di indonesia 
rakagu_m_20201030_4703_wilayah1_semarang,Wilayah KOBALIMA TIMUR terletak di Indonesia ,wilayah kobalima timur terletak di indonesia 
rakagu_m_20201030_4704_wilayah1_semarang,Wilayah MAULAFA terletak di Indonesia ,wilayah maulafa terletak di indonesia 
rakagu_m_20201030_4705_wilayah1_semarang,Wilayah OEBOBO terletak di Indonesia ,wilayah oebobo terletak di indonesia 
rakagu_m_20201030_4706_wilayah1_semarang,Wilayah KOTA RAJA terletak di Indonesia ,wilayah kota raja terletak di indonesia 
rakagu_m_20201030_4707_wilayah1_semarang,Wilayah KELAPA LIMA terletak di Indonesia ,wilayah kelapa lima terletak di indonesia 
rakagu_m_20201030_4708_wilayah1_semarang,Wilayah KOTA LAMA terletak di Indonesia ,wilayah kota lama terletak di indonesia 
rakagu_m_20201030_4709_wilayah1_semarang,Wilayah SELAKAU terletak di Indonesia ,wilayah selakau terletak di indonesia 
rakagu_m_20201030_4710_wilayah1_semarang,Wilayah SELAKAU TIMUR terletak di Indonesia ,wilayah selakau timur terletak di indonesia 
rakagu_m_20201030_4711_wilayah1_semarang,Wilayah PEMANGKAT terletak di Indonesia ,wilayah pemangkat terletak di indonesia 
rakagu_m_20201030_4712_wilayah1_semarang,Wilayah SEMPARUK terletak di Indonesia ,wilayah semparuk terletak di indonesia 
rakagu_m_20201030_4713_wilayah1_semarang,Wilayah SALATIGA terletak di Indonesia ,wilayah salatiga terletak di indonesia 
rakagu_m_20201030_4714_wilayah1_semarang,Wilayah TEBAS terletak di Indonesia ,wilayah tebas terletak di indonesia 
rakagu_m_20201030_4715_wilayah1_semarang,Wilayah TEKARANG terletak di Indonesia ,wilayah tekarang terletak di indonesia 
rakagu_m_20201030_4716_wilayah1_semarang,Wilayah SAMBAS terletak di Indonesia ,wilayah sambas terletak di indonesia 
rakagu_m_20201030_4717_wilayah1_semarang,Wilayah SUBAH terletak di Indonesia ,wilayah subah terletak di indonesia 
rakagu_m_20201030_4718_wilayah1_semarang,Wilayah SEBAWI terletak di Indonesia ,wilayah sebawi terletak di indonesia 
rakagu_m_20201030_4719_wilayah1_semarang,Wilayah SAJAD terletak di Indonesia ,wilayah sajad terletak di indonesia 
rakagu_m_20201030_4720_wilayah1_semarang,Wilayah JAWAI terletak di Indonesia ,wilayah jawai terletak di indonesia 
rakagu_m_20201030_4721_wilayah1_semarang,Wilayah JAWAI SELATAN terletak di Indonesia ,wilayah jawai selatan terletak di indonesia 
rakagu_m_20201030_4722_wilayah1_semarang,Wilayah TELUK KERAMAT terletak di Indonesia ,wilayah teluk keramat terletak di indonesia 
rakagu_m_20201030_4723_wilayah1_semarang,Wilayah GALING terletak di Indonesia ,wilayah galing terletak di indonesia 
rakagu_m_20201030_4724_wilayah1_semarang,Wilayah TANGARAN terletak di Indonesia ,wilayah tangaran terletak di indonesia 
rakagu_m_20201030_4725_wilayah1_semarang,Wilayah SAJINGAN BESAR terletak di Indonesia ,wilayah sajingan besar terletak di indonesia 
rakagu_m_20201030_4726_wilayah1_semarang,Wilayah PALOH terletak di Indonesia ,wilayah paloh terletak di indonesia 
rakagu_m_20201030_4727_wilayah1_semarang,Wilayah SUNGAI RAYA terletak di Indonesia ,wilayah sungai raya terletak di indonesia 
rakagu_m_20201030_4728_wilayah1_semarang,Wilayah CAPKALA terletak di Indonesia ,wilayah capkala terletak di indonesia 
rakagu_m_20201030_4729_wilayah1_semarang,Wilayah SUNGAI RAYA KEPULAUAN terletak di Indonesia ,wilayah sungai raya kepulauan terletak di indonesia 
rakagu_m_20201030_4730_wilayah1_semarang,Wilayah SAMALANTAN terletak di Indonesia ,wilayah samalantan terletak di indonesia 
rakagu_m_20201030_4731_wilayah1_semarang,Wilayah MONTERADO terletak di Indonesia ,wilayah monterado terletak di indonesia 
